Title,Alternative Title,Description,Language,Creator,Publisher,Genre,Subject,Keyword,Date Issued,Temporal Coverage,Date Range,Solr Year,Spatial Coverage,Bounding Box,Type,Geometry Type,Format,Information,Download,MapServer,FeatureServer,ImageServer,Slug,Identifier,Provenance,Code,Is Part Of,Status,Accrual Method,Date Accessioned,Rights,Access Rights,Suppressed,Child,FileSize
,Cases,"This feature layer contains the most up-to-dateCOVID-19cases and the latest trend plot. It covers the US (county or state level), China, Canada, Australia (province/state level), and the rest of the world (country/region level, represented by either the country centroids or their capitals). Data sources are WHO, CDC, ECDC, NHC, DXY, 1point3acres, Worldometers.info, BNO, the COVID Tracking Project (testing and hospitalizations), state and national government health departments, and local media reports. This layer is created and maintained bythe Center for Systems Science and Engineering (CSSE)at the Johns Hopkins University. Thisfeature layeris supported byEsri Living Atlas team, JHU APL and JHU Data Services. This layer is opened to the public and free to share.Contact us.",English,CSSE_GISandData,Esri,Geospatial data,,Coronavirus|COVID|COVID-19|JHU|CSSE|JohnsHopkins|csse,2020-02-06T01:35:01.000Z,,,,United States,"-170.1320,-52.3680,178.0650,71.7069",Dataset|Service,Vector,Shapefile,https://coronavirus-resources.esri.com/datasets/bbb2e4f589ba40d692fab712ae37b9ac_4,https://coronavirus-resources.esri.com/datasets/bbb2e4f589ba40d692fab712ae37b9ac_4.zip,,https://services1.arcgis.com/0MSEUqKaxRlEPj5g/arcgis/rest/services/Coronavirus_2019_nCoV_Cases/FeatureServer/4,,bbb2e4f589ba40d692fab712ae37b9ac_4,https://hub.arcgis.com/datasets/bbb2e4f589ba40d692fab712ae37b9ac_4,,99-1000,99-1000,Active,ArcGIS Hub,,Public,,False,False,0.0491 MB
,Deaths,"This feature layer contains the most up-to-dateCOVID-19cases and the latest trend plot. It covers the US (county or state level), China, Canada, Australia (province/state level), and the rest of the world (country/region level, represented by either the country centroids or their capitals). Data sources are WHO, CDC, ECDC, NHC, DXY, 1point3acres, Worldometers.info, BNO, the COVID Tracking Project (testing and hospitalizations), state and national government health departments, and local media reports. This layer is created and maintained bythe Center for Systems Science and Engineering (CSSE)at the Johns Hopkins University. Thisfeature layeris supported byEsri Living Atlas team, JHU APL and JHU Data Services. This layer is opened to the public and free to share.Contact us.",English,CSSE_GISandData,Esri,Geospatial data,,Coronavirus|COVID|COVID-19|JHU|CSSE|JohnsHopkins|csse,2020-02-06T01:35:01.000Z,,,,United States,"-170.1320,-52.3680,178.0650,71.7069",Dataset|Service,Vector,Shapefile,https://coronavirus-resources.esri.com/datasets/bbb2e4f589ba40d692fab712ae37b9ac_3,https://coronavirus-resources.esri.com/datasets/bbb2e4f589ba40d692fab712ae37b9ac_3.zip,,https://services1.arcgis.com/0MSEUqKaxRlEPj5g/arcgis/rest/services/Coronavirus_2019_nCoV_Cases/FeatureServer/3,,bbb2e4f589ba40d692fab712ae37b9ac_3,https://hub.arcgis.com/datasets/bbb2e4f589ba40d692fab712ae37b9ac_3,,99-1000,99-1000,Active,ArcGIS Hub,,Public,,False,False,0.0457 MB
,Cases country,"This feature layer contains the most up-to-dateCOVID-19cases and the latest trend plot. It covers the US (county or state level), China, Canada, Australia (province/state level), and the rest of the world (country/region level, represented by either the country centroids or their capitals). Data sources are WHO, CDC, ECDC, NHC, DXY, 1point3acres, Worldometers.info, BNO, the COVID Tracking Project (testing and hospitalizations), state and national government health departments, and local media reports. This layer is created and maintained bythe Center for Systems Science and Engineering (CSSE)at the Johns Hopkins University. Thisfeature layeris supported byEsri Living Atlas team, JHU APL and JHU Data Services. This layer is opened to the public and free to share.Contact us.",English,CSSE_GISandData,Esri,Geospatial data,,Coronavirus|COVID|COVID-19|JHU|CSSE|JohnsHopkins|csse,2020-02-06T01:35:01.000Z,,,,United States,"-102.0000,-40.9006,174.8860,64.9631",Dataset|Service,Vector,Shapefile,https://coronavirus-resources.esri.com/datasets/bbb2e4f589ba40d692fab712ae37b9ac_2,https://coronavirus-resources.esri.com/datasets/bbb2e4f589ba40d692fab712ae37b9ac_2.zip,,https://services1.arcgis.com/0MSEUqKaxRlEPj5g/arcgis/rest/services/Coronavirus_2019_nCoV_Cases/FeatureServer/2,,bbb2e4f589ba40d692fab712ae37b9ac_2,https://hub.arcgis.com/datasets/bbb2e4f589ba40d692fab712ae37b9ac_2,,99-1000,99-1000,Active,ArcGIS Hub,,Public,,False,False,0.0118 MB
,Deaths,"This feature layer contains the most up-to-dateCOVID-19cases and the latest trend plot. It covers the US (county or state level), China, Canada, Australia (province/state level), and the rest of the world (country/region level, represented by either the country centroids or their capitals). Data sources are WHO, CDC, ECDC, NHC, DXY, 1point3acres, Worldometers.info, BNO, the COVID Tracking Project (testing and hospitalizations), state and national government health departments, and local media reports. This layer is created and maintained bythe Center for Systems Science and Engineering (CSSE)at the Johns Hopkins University. Thisfeature layeris supported byEsri Living Atlas team, JHU APL and JHU Data Services. This layer is opened to the public and free to share.Contact us.",English,CSSE_GISandData,Esri,Geospatial data,,Coronavirus|COVID|COVID-19|JHU|CSSE|JohnsHopkins|csse,2020-02-06T01:35:01.000Z,,,,United States,"-157.4983,-41.4545,174.8860,64.9631",Dataset|Service,Vector,Shapefile,https://coronavirus-resources.esri.com/datasets/bbb2e4f589ba40d692fab712ae37b9ac_0,https://coronavirus-resources.esri.com/datasets/bbb2e4f589ba40d692fab712ae37b9ac_0.zip,,https://services1.arcgis.com/0MSEUqKaxRlEPj5g/arcgis/rest/services/Coronavirus_2019_nCoV_Cases/FeatureServer/0,,bbb2e4f589ba40d692fab712ae37b9ac_0,https://hub.arcgis.com/datasets/bbb2e4f589ba40d692fab712ae37b9ac_0,,99-1000,99-1000,Active,ArcGIS Hub,,Public,,False,False,0.0461 MB
,Cases,"This feature layer contains the most up-to-dateCOVID-19cases and the latest trend plot. It covers the US (county or state level), China, Canada, Australia (province/state level), and the rest of the world (country/region level, represented by either the country centroids or their capitals). Data sources are WHO, CDC, ECDC, NHC, DXY, 1point3acres, Worldometers.info, BNO, the COVID Tracking Project (testing and hospitalizations), state and national government health departments, and local media reports. This layer is created and maintained bythe Center for Systems Science and Engineering (CSSE)at the Johns Hopkins University. Thisfeature layeris supported byEsri Living Atlas team, JHU APL and JHU Data Services. This layer is opened to the public and free to share.Contact us.",English,CSSE_GISandData,Esri,Geospatial data,,Coronavirus|COVID|COVID-19|JHU|CSSE|JohnsHopkins|csse,2020-02-06T01:35:01.000Z,,,,United States,"-157.4983,-41.4545,174.8860,64.9631",Dataset|Service,Vector,Shapefile,https://coronavirus-resources.esri.com/datasets/bbb2e4f589ba40d692fab712ae37b9ac_1,https://coronavirus-resources.esri.com/datasets/bbb2e4f589ba40d692fab712ae37b9ac_1.zip,,https://services1.arcgis.com/0MSEUqKaxRlEPj5g/arcgis/rest/services/Coronavirus_2019_nCoV_Cases/FeatureServer/1,,bbb2e4f589ba40d692fab712ae37b9ac_1,https://hub.arcgis.com/datasets/bbb2e4f589ba40d692fab712ae37b9ac_1,,99-1000,99-1000,Active,ArcGIS Hub,,Public,,False,False,0.0491 MB
,Cases country,"This feature layer contains the most up-to-dateCOVID-19cases and the latest trend plot. It covers the US (county or state level), China, Canada, Australia (province/state level), and the rest of the world (country/region level, represented by either the country centroids or their capitals). Data sources are WHO, CDC, ECDC, NHC, DXY, 1point3acres, Worldometers.info, BNO, the COVID Tracking Project (testing and hospitalizations), state and national government health departments, and local media reports. This layer is created and maintained bythe Center for Systems Science and Engineering (CSSE)at the Johns Hopkins University. Thisfeature layeris supported byEsri Living Atlas team, JHU APL and JHU Data Services. This layer is opened to the public and free to share.Contact us.",English,CSSE_GISandData,Esri,Geospatial data,,Coronavirus|COVID|COVID-19|JHU|CSSE|JohnsHopkins|csse,2020-02-06T01:35:01.000Z,,,,United States,"-102.5528,-40.9006,178.0650,64.9631",Dataset|Service,Vector,Shapefile,https://coronavirus-resources.esri.com/datasets/bbb2e4f589ba40d692fab712ae37b9ac_5,https://coronavirus-resources.esri.com/datasets/bbb2e4f589ba40d692fab712ae37b9ac_5.zip,,https://services1.arcgis.com/0MSEUqKaxRlEPj5g/arcgis/rest/services/Coronavirus_2019_nCoV_Cases/FeatureServer/5,,bbb2e4f589ba40d692fab712ae37b9ac_5,https://hub.arcgis.com/datasets/bbb2e4f589ba40d692fab712ae37b9ac_5,,99-1000,99-1000,Active,ArcGIS Hub,,Public,,False,False,0.0118 MB
,County,"This layer shows place of birth by citizenship status.This is shown by tract, county, and state boundaries.This service is updated annually to contain the most currently released American Community Survey (ACS) 5-year data, and contains estimates and margins of error. There are also additional calculated attributes related to this topic, which can be mapped or used within analysis. This layer is symbolized to show the predominant area of birth among those who are foreign born. To see the full list of attributes available in this service, go to the ""Data"" tab, and choose ""Fields"" at the top right.Current Vintage: 2015-2019ACS Table(s): B05002 (Not all lines of this ACS table are available in this feature layer.)Data downloaded from:Census Bureau's API for American Community SurveyDate of API call: December 10, 2020National Figures:data.census.govThe United States Census Bureau's American Community Survey (ACS):About the SurveyGeography & ACSTechnical DocumentationNews & UpdatesThis ready-to-use layer can be used within ArcGIS Pro, ArcGIS Online, its configurable apps, dashboards, Story Maps, custom apps, and mobile apps. Data can also be exported for offline workflows. Please cite the Census and ACS when using this data.Data Note from the Census:Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, seeAccuracy of the Data). The effect of nonsampling error is not represented in these tables.Data Processing Notes:This layer is updated automatically when the most current vintage of ACS data is released each year, usually in December. The layer always contains the latest available ACS 5-year estimates. It is updated annually within days of the Census Bureau's release schedule.Click hereto learn more about ACS data releases.Boundaries come from theUS Census TIGER geodatabases. Boundaries are updated at the same time as the data updates (annually), and the boundary vintage appropriately matches the data vintageas specified by the Census. These are Census boundaries with water and/or coastlines clipped for cartographic purposes. For census tracts, the water cutouts are derived from a subset of the 2010 AWATER (Area Water) boundaries offered by TIGER. For state and county boundaries, the water and coastlines are derived from the coastlines of the 500kTIGER Cartographic Boundary Shapefiles. The original AWATER and ALAND fields are still available as attributes within the data table (units are square meters).The States layer contains 52 records - all US states, Washington D.C., and Puerto RicoCensus tracts with no population that occur in areas of water, such as oceans, are removed from this data service (Census Tracts beginning with 99).Percentages and derived counts, and associated margins of error, are calculated values (that can be identified by the ""_calc_"" stub in the field name), and abide by the specificationsdefined by the American Community Survey.Field alias names were created based on the Table Shells file available from theAmerican Community Survey Summary File Documentation page.Negative values (e.g., -4444...) have been set to null, with the exception of -5555... which has been set to zero.These negative values exist in the raw API data to indicate the following situations:The margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.The median falls in the lowest interval of an open-ended distribution, or in the upper interval of an open-ended distribution. A statistical test is not appropriate.The estimate is controlled. A statistical test for sampling variability is not appropriate.The data for this geographic area cannot be displayed because the number of sample cases is too small.",English,Esri,Esri,Geospatial data,,AmericanCommunitySurvey|ACS|Census|CensusBureau|demographics|people|states|counties|tracts|currentyear|placeofbirth|nativity|foreignborn|citizenship|naturalized|demographics|AmericanCommunitySurvey|policy,2020-04-01T03:58:34.000Z,,,,United States,"-179.1474,17.8848,179.7785,71.3526",Dataset|Service,Vector,Shapefile,https://gis-for-racialequity.hub.arcgis.com/datasets/f0dd0af9535e4d77864df1b728e4b162_1,https://data.detroitmi.gov/datasets/b3e02efde01a49fd9f29fb2bdb723000_0.zip,,https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/ACS_Place_of_Birth_Boundaries/FeatureServer/1,,f0dd0af9535e4d77864df1b728e4b162_1,https://hub.arcgis.com/datasets/f0dd0af9535e4d77864df1b728e4b162_1,,99-1100,99-1100,Active,ArcGIS Hub,,Public,,False,False,0.0038 MB
,Tract,"This layer shows place of birth by citizenship status.This is shown by tract, county, and state boundaries.This service is updated annually to contain the most currently released American Community Survey (ACS) 5-year data, and contains estimates and margins of error. There are also additional calculated attributes related to this topic, which can be mapped or used within analysis. This layer is symbolized to show the predominant area of birth among those who are foreign born. To see the full list of attributes available in this service, go to the ""Data"" tab, and choose ""Fields"" at the top right.Current Vintage: 2015-2019ACS Table(s): B05002 (Not all lines of this ACS table are available in this feature layer.)Data downloaded from:Census Bureau's API for American Community SurveyDate of API call: December 10, 2020National Figures:data.census.govThe United States Census Bureau's American Community Survey (ACS):About the SurveyGeography & ACSTechnical DocumentationNews & UpdatesThis ready-to-use layer can be used within ArcGIS Pro, ArcGIS Online, its configurable apps, dashboards, Story Maps, custom apps, and mobile apps. Data can also be exported for offline workflows. Please cite the Census and ACS when using this data.Data Note from the Census:Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, seeAccuracy of the Data). The effect of nonsampling error is not represented in these tables.Data Processing Notes:This layer is updated automatically when the most current vintage of ACS data is released each year, usually in December. The layer always contains the latest available ACS 5-year estimates. It is updated annually within days of the Census Bureau's release schedule.Click hereto learn more about ACS data releases.Boundaries come from theUS Census TIGER geodatabases. Boundaries are updated at the same time as the data updates (annually), and the boundary vintage appropriately matches the data vintageas specified by the Census. These are Census boundaries with water and/or coastlines clipped for cartographic purposes. For census tracts, the water cutouts are derived from a subset of the 2010 AWATER (Area Water) boundaries offered by TIGER. For state and county boundaries, the water and coastlines are derived from the coastlines of the 500kTIGER Cartographic Boundary Shapefiles. The original AWATER and ALAND fields are still available as attributes within the data table (units are square meters).The States layer contains 52 records - all US states, Washington D.C., and Puerto RicoCensus tracts with no population that occur in areas of water, such as oceans, are removed from this data service (Census Tracts beginning with 99).Percentages and derived counts, and associated margins of error, are calculated values (that can be identified by the ""_calc_"" stub in the field name), and abide by the specificationsdefined by the American Community Survey.Field alias names were created based on the Table Shells file available from theAmerican Community Survey Summary File Documentation page.Negative values (e.g., -4444...) have been set to null, with the exception of -5555... which has been set to zero.These negative values exist in the raw API data to indicate the following situations:The margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.The median falls in the lowest interval of an open-ended distribution, or in the upper interval of an open-ended distribution. A statistical test is not appropriate.The estimate is controlled. A statistical test for sampling variability is not appropriate.The data for this geographic area cannot be displayed because the number of sample cases is too small.",English,Esri,Esri,Geospatial data,,AmericanCommunitySurvey|ACS|Census|CensusBureau|demographics|people|states|counties|tracts|currentyear|placeofbirth|nativity|foreignborn|citizenship|naturalized|demographics|AmericanCommunitySurvey|policy,2020-04-01T03:58:34.000Z,,,,United States,"-179.1473,17.8812,179.7785,71.3904",Dataset|Service,Vector,Shapefile,https://gis-for-racialequity.hub.arcgis.com/datasets/f0dd0af9535e4d77864df1b728e4b162_2,https://data.detroitmi.gov/datasets/b3e02efde01a49fd9f29fb2bdb723000_0.zip,,https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/ACS_Place_of_Birth_Boundaries/FeatureServer/2,,f0dd0af9535e4d77864df1b728e4b162_2,https://hub.arcgis.com/datasets/f0dd0af9535e4d77864df1b728e4b162_2,,99-1100,99-1100,Active,ArcGIS Hub,,Public,,False,False,0.0038 MB
,State,"This layer shows place of birth by citizenship status.This is shown by tract, county, and state boundaries.This service is updated annually to contain the most currently released American Community Survey (ACS) 5-year data, and contains estimates and margins of error. There are also additional calculated attributes related to this topic, which can be mapped or used within analysis. This layer is symbolized to show the predominant area of birth among those who are foreign born. To see the full list of attributes available in this service, go to the ""Data"" tab, and choose ""Fields"" at the top right.Current Vintage: 2015-2019ACS Table(s): B05002 (Not all lines of this ACS table are available in this feature layer.)Data downloaded from:Census Bureau's API for American Community SurveyDate of API call: December 10, 2020National Figures:data.census.govThe United States Census Bureau's American Community Survey (ACS):About the SurveyGeography & ACSTechnical DocumentationNews & UpdatesThis ready-to-use layer can be used within ArcGIS Pro, ArcGIS Online, its configurable apps, dashboards, Story Maps, custom apps, and mobile apps. Data can also be exported for offline workflows. Please cite the Census and ACS when using this data.Data Note from the Census:Data are based on a sample and are subject to sampling variability. The degree of uncertainty for an estimate arising from sampling variability is represented through the use of a margin of error. The value shown here is the 90 percent margin of error. The margin of error can be interpreted as providing a 90 percent probability that the interval defined by the estimate minus the margin of error and the estimate plus the margin of error (the lower and upper confidence bounds) contains the true value. In addition to sampling variability, the ACS estimates are subject to nonsampling error (for a discussion of nonsampling variability, seeAccuracy of the Data). The effect of nonsampling error is not represented in these tables.Data Processing Notes:This layer is updated automatically when the most current vintage of ACS data is released each year, usually in December. The layer always contains the latest available ACS 5-year estimates. It is updated annually within days of the Census Bureau's release schedule.Click hereto learn more about ACS data releases.Boundaries come from theUS Census TIGER geodatabases. Boundaries are updated at the same time as the data updates (annually), and the boundary vintage appropriately matches the data vintageas specified by the Census. These are Census boundaries with water and/or coastlines clipped for cartographic purposes. For census tracts, the water cutouts are derived from a subset of the 2010 AWATER (Area Water) boundaries offered by TIGER. For state and county boundaries, the water and coastlines are derived from the coastlines of the 500kTIGER Cartographic Boundary Shapefiles. The original AWATER and ALAND fields are still available as attributes within the data table (units are square meters).The States layer contains 52 records - all US states, Washington D.C., and Puerto RicoCensus tracts with no population that occur in areas of water, such as oceans, are removed from this data service (Census Tracts beginning with 99).Percentages and derived counts, and associated margins of error, are calculated values (that can be identified by the ""_calc_"" stub in the field name), and abide by the specificationsdefined by the American Community Survey.Field alias names were created based on the Table Shells file available from theAmerican Community Survey Summary File Documentation page.Negative values (e.g., -4444...) have been set to null, with the exception of -5555... which has been set to zero.These negative values exist in the raw API data to indicate the following situations:The margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate.Either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution.The median falls in the lowest interval of an open-ended distribution, or in the upper interval of an open-ended distribution. A statistical test is not appropriate.The estimate is controlled. A statistical test for sampling variability is not appropriate.The data for this geographic area cannot be displayed because the number of sample cases is too small.",English,Esri,Esri,Geospatial data,,AmericanCommunitySurvey|ACS|Census|CensusBureau|demographics|people|states|counties|tracts|currentyear|placeofbirth|nativity|foreignborn|citizenship|naturalized|demographics|AmericanCommunitySurvey|policy,2020-04-01T03:58:34.000Z,,,,United States,"-179.1474,17.8848,179.7785,71.3526",Dataset|Service,Vector,Shapefile,https://gis-for-racialequity.hub.arcgis.com/datasets/f0dd0af9535e4d77864df1b728e4b162_0,https://data.detroitmi.gov/datasets/b3e02efde01a49fd9f29fb2bdb723000_0.zip,,https://services.arcgis.com/P3ePLMYs2RVChkJx/arcgis/rest/services/ACS_Place_of_Birth_Boundaries/FeatureServer/0,,f0dd0af9535e4d77864df1b728e4b162_0,https://hub.arcgis.com/datasets/f0dd0af9535e4d77864df1b728e4b162_0,,99-1100,99-1100,Active,ArcGIS Hub,,Public,,False,False,0.0038 MB
,"Detailed Asian Ethnicities by Tract, 2012-2016","This layer contains estimates and margins of error for 21 different Asian ethnicities by tract centroids. Data is from American Community Survey 2012-2016 5-year estimates, Table B02018. Ethnicities/fields are: Asian Indian, Bangladeshi, Bhutanese, Burmese, Cambodian, Chinese (except Taiwanese), Filipino, Hmong, Indonesian, Japanese, Korean, Laotian, Malaysian, Mongolian, Nepalese, Okinawan, Pakistani, Sri Lankan, Taiwanese, Thai, Vietnamese, Other Asian - specified, and Other Asian - not specified.A filter is applied so that only tracts with at least 3 Asian Americans are displayed. Layer is symbolized with red firefly proportionally-graduated symbols, meant for a dark basemap. Accompanyingweb mapalso available.Nationally, the estimates and margins of error for these detailed Asian ethnicities are below:United StatesEstimateMargin of ErrorTotal Groups Tallied:20,337,346+/-27,363Asian Indian3,746,270+/-19,968Bangladeshi170,747+/-5,251Bhutanese27,399+/-2,669Burmese150,087+/-5,408Cambodian317,931+/-7,693Chinese, except Taiwanese4,558,129+/-24,665Filipino3,772,868+/-22,409Hmong289,461+/-5,593Indonesian110,286+/-4,239Japanese1,413,802+/-16,600Korean1,795,614+/-14,740Laotian262,832+/-6,798Malaysian30,626+/-1,882Mongolian22,390+/-1,940Nepalese126,668+/-5,072Okinawan12,614+/-1,057Pakistani476,963+/-11,358Sri Lankan54,260+/-2,685Taiwanese181,683+/-5,393Thai280,835+/-6,834Vietnamese1,948,720+/-20,616Other Asian, specified7,252+/-842Other Asian, not specified579,909+/-9,235",English,Urban Observatory by Esri,Esri,Geospatial data,,AsianAmerican|AmericanCommunitySurvey|demographics|ethnicity|tracts,2018-01-17T02:10:40.000Z,,,,United States,"-171.7333,19.1132,-66.9985,71.2967",Dataset|Service,Vector,Shapefile,https://gis-for-racialequity.hub.arcgis.com/datasets/a769f9401eba4b5fa7ab994df885e35f_0,https://gis-for-racialequity.hub.arcgis.com/datasets/a769f9401eba4b5fa7ab994df885e35f_0.zip,,https://services1.arcgis.com/4yjifSiIG17X0gW4/arcgis/rest/services/Detailed_Asian_Ethnicities_by_tract_2012_2016_ACS/FeatureServer/0,,a769f9401eba4b5fa7ab994df885e35f_0,https://hub.arcgis.com/datasets/a769f9401eba4b5fa7ab994df885e35f_0,,99-1100,99-1100,Active,ArcGIS Hub,,Public,,False,False,5.6039 MB
