portalName,total,new_items,deleted_items
06a-01,356,23,11
05b-27167,53,0,0
01b-18163,60,0,0
11b-39153,22,0,1
08b-42133,56,0,0
04b-24031,72,0,0
01c-02,1209,4,0
02b-17113,36,19,0
04b-24013,32,0,0
08b-42003,57,1,0
11b-39009,17,0,0
05b-27011,15,0,0
05b-27017,0,0,0
05b-27019,89,0,0
08b-42027,86,1,1
04c-02,77,15,3
12b-17043,58,0,0
11b-39049,48,12,10
11a-01,1044,12,3
04b-24025,91,0,0
05b-27053,46,0,0
12b-17097,1456,0,0
03b-19113,102,0,0
05c-01,159,0,0
06b-26125,286,2,0
08c-02,270,8,11
05b-27119,75,0,0
05b-27121,58,0,0
99-1000,695,7,0
11b-39151,97,3,0
04b-24005,152,16,2
08b-42029,48,0,0
05b-27027,21,0,0
08b-42039,110,0,0
11b-39035,32,0,0
08b-42043,29,0,0
04f-01,85,0,1
05b-27057,0,0,0
11b-39093,221,0,0
04a-01,1428,198,1
08b-42091,66,30,2
04c-01,1468,54,0
12b-17143,129,1,0
05b-27123,31,0,0
05b-27139,61,1,0
06f-01,46,0,0
09c-01,91,4,0
07d-02,63,0,0
07b-26161,12,0,0
04b-24021,110,0,0
07c-01,146,1,2
03a-04,253,2,0
03c-02,179,3,0
12b-17031,197,0,0
03a-02,1064,0,0
13a-01,149,0,0
12d-03,34,0,0
99-1100,234,18,0
10b-55003,9,0,0
10c-03,161,0,0
10c-04,34,0,1
10b-55021,78,0,0
10b-55025,56,0,0
10b-55025-01,52,0,0
10b-55035-01,38,0,0
10b-55079,70,0,0
10b-55087,99,1,0
10b-55093,4,0,0
10b-55101,107,0,0
10b-55111,77,0,0
10b-55109,6,0,0
10b-55125-01,32,0,0
10b-55133,173,0,0
10b-55135,63,0,0
10b-55137,12,0,0
10b-55141,19,0,0
